EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.282,47.692,16.883,76.593,23.486,15.207,1.707,-29.864,-0.028,0.907,-0.465,-0.153,-0.671,-0.031,73.333,18487.000,1.000
7.502,45.778,17.899,86.524,26.294,20.108,5.017,-20.648,-0.027,0.907,-0.465,-0.092,-0.610,-0.061,73.333,18488.000,1.000
7.672,42.336,17.852,92.742,27.176,24.846,7.611,-9.195,-0.026,0.908,-0.465,-0.061,-0.519,-0.061,73.333,18489.000,1.000
7.520,38.816,17.560,95.021,26.646,28.853,9.354,4.140,-0.027,0.910,-0.466,-0.031,-0.427,-0.183,73.333,18490.000,1.000
7.745,35.826,17.584,93.278,25.639,31.727,10.242,18.233,-0.026,0.910,-0.463,0.031,-0.519,-0.366,73.333,18491.000,1.000
8.556,33.119,18.055,87.577,24.936,33.107,9.544,30.778,-0.027,0.913,-0.461,-0.031,-0.549,-0.366,73.333,18492.000,1.000
9.686,30.406,19.375,79.039,24.944,33.559,7.356,40.147,-0.028,0.915,-0.464,-0.061,-0.488,-0.427,73.333,18493.000,1.000
10.559,28.035,22.030,69.478,25.283,33.981,4.240,45.505,-0.027,0.915,-0.467,0.092,-0.397,-0.458,73.333,18494.000,1.000
10.604,26.429,25.669,60.092,24.968,34.243,0.309,46.133,-0.026,0.914,-0.466,0.244,-0.214,-0.458,73.333,18495.000,1.000
10.000,25.744,29.504,51.588,23.674,33.730,-3.683,42.402,-0.025,0.915,-0.466,0.214,-0.183,-0.641,73.333,18496.000,1.000
10.163,26.910,33.745,45.195,22.592,32.680,-6.481,35.969,-0.024,0.914,-0.465,0.244,-0.122,-0.671,73.333,18497.000,1.000
12.810,31.210,39.474,42.538,23.725,32.307,-6.281,29.576,-0.027,0.913,-0.464,0.244,-0.031,-0.610,73.333,18498.000,1.000
18.412,38.879,47.056,44.009,28.076,33.225,-2.588,24.741,-0.029,0.915,-0.465,0.214,0.000,-0.549,73.333,18499.000,1.000
25.745,48.430,55.363,48.089,34.703,34.677,3.002,20.558,-0.028,0.914,-0.464,0.305,0.000,-0.580,73.333,18500.000,1.000
32.663,57.122,62.284,52.312,41.176,35.146,8.263,14.985,-0.028,0.915,-0.469,0.397,0.061,-0.610,73.333,18501.000,1.000
37.247,62.370,65.822,54.524,44.946,33.044,10.753,6.018,-0.030,0.913,-0.468,0.549,0.183,-0.671,73.333,18502.000,1.000
38.649,62.691,65.329,54.157,45.151,27.972,10.003,-5.914,-0.032,0.912,-0.465,0.580,0.153,-0.610,73.333,18503.000,1.000
37.367,58.528,62.052,52.445,43.068,21.230,7.792,-18.036,-0.032,0.911,-0.466,0.641,0.153,-0.580,73.333,18504.000,1.000
34.914,52.124,58.413,51.484,41.031,15.277,7.008,-26.915,-0.031,0.911,-0.467,0.732,0.183,-0.488,73.333,18505.000,1.000
33.138,46.259,56.681,53.070,41.012,12.739,10.865,-29.487,-0.032,0.912,-0.465,0.732,0.336,-0.549,73.333,18506.000,1.000
33.398,42.972,57.778,57.458,43.449,14.633,20.320,-24.886,-0.032,0.911,-0.465,0.763,0.183,-0.671,73.333,18507.000,1.000
35.827,41.999,60.514,62.780,46.956,19.270,33.594,-14.645,-0.033,0.913,-0.467,0.824,0.092,-0.702,73.333,18508.000,1.000
39.227,40.802,62.072,65.570,48.963,22.852,46.471,-2.435,-0.032,0.914,-0.463,0.854,0.214,-0.702,73.333,18509.000,1.000
41.898,36.599,60.051,62.870,47.402,22.350,54.846,8.122,-0.031,0.917,-0.460,0.824,0.061,-0.702,73.333,18510.000,1.000
42.859,28.652,54.571,54.631,42.254,18.300,58.378,16.497,-0.032,0.917,-0.462,0.916,-0.031,-0.641,73.333,18511.000,1.000
42.282,18.766,48.075,43.499,35.318,13.933,59.419,24.276,-0.032,0.917,-0.464,0.732,0.061,-0.732,73.333,18512.000,1.000
40.910,9.242,43.048,32.533,28.750,12.269,60.933,33.124,-0.031,0.918,-0.465,0.671,0.000,-0.671,73.333,18513.000,1.000
39.678,1.926,40.614,23.588,23.977,14.246,64.402,43.134,-0.031,0.920,-0.465,0.610,0.031,-0.610,73.333,18514.000,1.000
39.881,-1.344,41.047,17.594,21.979,19.297,70.009,53.412,-0.031,0.920,-0.465,0.519,-0.031,-0.610,73.333,18515.000,1.000
42.639,0.736,44.286,14.967,23.525,26.470,78.092,63.395,-0.031,0.918,-0.463,0.427,-0.061,-0.549,73.333,18516.000,1.000
47.772,7.926,49.677,15.111,28.398,34.305,87.859,71.879,-0.028,0.916,-0.461,0.305,-0.153,-0.488,73.333,18517.000,1.000
53.671,18.089,56.037,16.803,35.121,41.267,97.924,77.623,-0.028,0.915,-0.457,0.153,0.061,-0.336,73.333,18518.000,1.000
58.352,28.324,62.022,18.906,41.447,46.067,106.537,79.671,-0.027,0.916,-0.461,0.092,-0.031,-0.305,73.333,18519.000,1.000
60.377,35.896,66.127,20.405,45.329,47.374,111.647,77.309,-0.028,0.915,-0.460,0.031,-0.092,-0.183,73.333,18520.000,1.000
59.480,39.137,67.137,20.654,46.121,44.429,112.420,70.887,-0.029,0.916,-0.462,0.061,-0.122,-0.092,73.333,18521.000,1.000
56.912,39.063,65.192,19.962,45.102,38.173,109.279,61.452,-0.030,0.915,-0.463,-0.061,-0.061,0.092,73.333,18522.000,1.000
54.595,38.605,61.711,19.529,44.594,31.401,104.320,50.790,-0.028,0.914,-0.464,0.031,-0.183,0.122,73.333,18523.000,1.000
53.662,40.312,58.259,20.343,46.155,26.933,99.742,40.318,-0.027,0.913,-0.462,0.031,-0.214,0.183,73.333,18524.000,1.000
53.974,44.944,55.889,22.569,49.773,25.955,96.513,30.625,-0.029,0.912,-0.460,-0.031,-0.183,0.153,73.333,18525.000,1.000
54.741,51.348,54.971,25.715,54.226,27.736,94.868,22.227,-0.028,0.911,-0.460,0.031,-0.214,0.214,73.333,18526.000,1.000
55.313,57.370,55.155,28.814,57.725,30.038,93.613,14.811,-0.031,0.910,-0.460,0.000,-0.153,0.244,73.333,18527.000,1.000
55.568,60.767,55.649,31.153,58.914,30.642,91.520,7.821,-0.033,0.910,-0.461,0.031,-0.153,0.244,73.333,18528.000,1.000
55.685,60.363,55.508,32.672,57.438,28.401,87.728,0.718,-0.034,0.909,-0.465,0.000,-0.275,0.275,73.333,18529.000,1.000
55.546,56.249,53.661,33.601,53.854,23.392,81.590,-6.753,-0.036,0.908,-0.464,0.061,-0.458,0.214,73.333,18530.000,1.000
54.607,49.164,49.246,34.213,49.275,16.881,73.682,-13.767,-0.036,0.909,-0.464,0.092,-0.488,0.183,73.333,18531.000,1.000
52.716,40.765,42.488,34.892,44.863,10.691,64.969,-19.196,-0.036,0.910,-0.463,0.122,-0.549,0.092,73.333,18532.000,1.000
50.628,33.257,35.023,36.436,41.485,6.628,56.849,-21.466,-0.033,0.910,-0.465,0.061,-0.610,0.000,73.333,18533.000,1.000
49.234,28.110,28.908,39.493,39.159,5.624,49.906,-19.637,-0.033,0.910,-0.464,0.092,-0.763,-0.061,73.333,18534.000,1.000
48.484,24.703,25.163,43.623,36.964,7.272,43.205,-14.470,-0.033,0.912,-0.464,0.122,-0.671,-0.122,73.333,18535.000,1.000
47.473,20.720,23.422,47.357,33.942,10.313,35.937,-7.461,-0.031,0.914,-0.465,0.153,-0.763,-0.122,73.333,18536.000,1.000
45.365,14.636,22.783,48.880,29.954,13.182,27.430,-0.419,-0.031,0.914,-0.465,0.244,-0.916,-0.183,73.333,18537.000,1.000
41.901,6.852,22.593,46.918,25.784,14.852,17.907,5.649,-0.030,0.914,-0.466,0.153,-0.854,-0.153,73.333,18538.000,1.000
37.434,-0.760,22.686,41.204,22.407,15.007,7.953,10.191,-0.029,0.913,-0.469,0.214,-0.824,-0.153,73.333,18539.000,1.000
32.784,-6.024,23.115,32.403,20.367,13.547,-2.246,12.555,-0.029,0.915,-0.466,0.214,-0.916,-0.092,73.333,18540.000,1.000
28.801,-7.770,23.602,21.693,19.487,10.226,-12.512,12.415,-0.028,0.915,-0.463,0.214,-0.885,-0.122,73.333,18541.000,1.000
25.907,-6.197,23.414,10.211,18.859,4.524,-23.777,9.005,-0.026,0.916,-0.468,0.366,-0.824,-0.122,73.333,18542.000,1.000
24.103,-2.733,22.053,-0.808,17.782,-3.289,-36.662,2.254,-0.026,0.916,-0.466,0.336,-0.732,-0.031,73.333,18543.000,1.000
23.463,1.399,20.173,-9.853,16.661,-11.354,-50.349,-6.306,-0.026,0.918,-0.465,0.275,-0.824,-0.031,73.333,18544.000,1.000
24.240,6.222,19.441,-15.520,16.736,-16.896,-62.857,-14.076,-0.027,0.918,-0.467,0.305,-0.793,-0.061,73.333,18545.000,1.000
26.165,11.878,20.911,-17.404,18.713,-18.166,-71.884,-18.813,-0.028,0.916,-0.466,0.214,-0.671,0.031,73.333,18546.000,1.000
28.066,17.401,23.652,-16.788,21.654,-16.319,-77.552,-21.063,-0.029,0.918,-0.465,0.183,-0.732,0.000,73.333,18547.000,1.000
28.631,20.806,25.395,-15.582,23.708,-14.378,-81.592,-23.069,-0.027,0.918,-0.462,0.214,-0.824,-0.092,73.333,18548.000,1.000
27.459,20.799,24.401,-14.749,23.523,-14.873,-85.644,-26.824,-0.030,0.919,-0.464,0.122,-0.702,-0.122,73.333,18549.000,1.000
25.164,17.770,20.459,-13.875,20.860,-18.581,-90.331,-32.867,-0.029,0.919,-0.465,0.031,-0.763,-0.183,73.333,18550.000,1.000
22.647,13.011,14.481,-11.884,16.401,-24.563,-94.527,-39.540,-0.029,0.917,-0.462,0.031,-0.824,-0.122,73.333,18551.000,1.000
20.581,7.929,7.675,-8.158,11.231,-31.170,-97.011,-44.529,-0.031,0.916,-0.464,0.000,-0.946,-0.275,73.333,18552.000,1.000
19.465,3.557,1.273,-2.561,6.732,-36.480,-96.321,-45.379,-0.032,0.915,-0.464,-0.031,-0.916,-0.336,73.333,18553.000,1.000
19.768,0.789,-3.433,4.947,4.255,-38.804,-91.213,-40.469,-0.033,0.915,-0.464,0.000,-0.916,-0.427,73.333,18554.000,1.000
21.465,0.152,-5.680,13.903,4.370,-37.538,-81.814,-30.206,-0.034,0.913,-0.462,-0.122,-0.977,-0.519,73.333,18555.000,1.000
23.517,1.061,-5.935,22.814,6.425,-33.496,-69.217,-16.626,-0.034,0.915,-0.460,-0.031,-1.099,-0.580,73.333,18556.000,1.000
24.382,2.396,-5.462,29.484,8.874,-28.545,-55.676,-2.824,-0.032,0.914,-0.460,0.000,-1.068,-0.610,73.333,18557.000,1.000
23.193,3.539,-5.098,32.392,10.415,-24.244,-42.837,9.161,-0.031,0.913,-0.461,-0.122,-1.099,-0.580,73.333,18558.000,1.000
20.380,5.138,-4.709,31.365,10.646,-21.271,-31.472,18.470,-0.032,0.911,-0.464,-0.031,-1.099,-0.641,73.333,18559.000,1.000
17.168,8.409,-3.824,27.055,9.950,-19.859,-22.156,24.398,-0.033,0.911,-0.460,-0.153,-1.068,-0.763,73.333,18560.000,1.000
14.583,13.569,-2.409,20.422,9.016,-19.979,-14.610,26.757,-0.032,0.911,-0.460,0.000,-1.160,-0.702,73.333,18561.000,1.000
12.981,19.885,-0.868,12.466,8.326,-21.443,-8.707,25.463,-0.030,0.910,-0.461,0.031,-1.221,-0.763,73.333,18562.000,1.000
12.171,26.438,0.324,4.232,8.118,-23.796,-4.044,21.097,-0.027,0.908,-0.458,-0.031,-1.160,-0.854,73.333,18563.000,1.000
11.547,32.593,0.694,-3.551,8.129,-26.884,-0.371,14.344,-0.028,0.909,-0.460,0.122,-1.099,-0.793,73.333,18564.000,1.000
10.287,37.894,-0.104,-10.700,7.601,-31.012,1.910,5.456,-0.030,0.909,-0.461,0.153,-1.099,-0.763,73.333,18565.000,1.000
8.024,42.291,-1.679,-16.916,6.197,-35.701,3.354,-4.548,-0.029,0.909,-0.461,0.183,-1.251,-0.854,73.333,18566.000,1.000
5.291,46.709,-2.778,-21.478,4.459,-39.398,4.970,-14.405,-0.030,0.909,-0.462,0.244,-1.251,-0.824,73.333,18567.000,1.000
3.101,52.223,-2.141,-23.490,3.421,-40.269,8.206,-22.805,-0.030,0.909,-0.461,0.336,-1.282,-0.824,73.333,18568.000,1.000
2.277,59.389,0.780,-22.412,3.894,-37.200,14.098,-28.818,-0.031,0.909,-0.463,0.488,-1.251,-0.732,73.333,18569.000,1.000
2.958,68.055,5.655,-18.590,6.052,-30.195,22.302,-32.108,-0.031,0.910,-0.465,0.549,-1.312,-0.763,73.333,18570.000,1.000
4.461,76.952,11.306,-13.308,9.400,-20.142,31.856,-32.263,-0.033,0.910,-0.461,0.641,-1.129,-0.763,73.333,18571.000,1.000
5.734,84.112,16.065,-8.458,12.934,-8.777,40.814,-29.579,-0.032,0.911,-0.461,0.671,-1.282,-0.732,73.333,18572.000,1.000
6.041,87.790,18.582,-5.452,15.789,2.119,47.760,-24.577,-0.032,0.911,-0.460,0.824,-1.221,-0.793,73.333,18573.000,1.000
5.365,87.843,18.652,-4.369,17.680,11.543,52.468,-17.685,-0.034,0.913,-0.461,0.885,-1.251,-0.885,73.333,18574.000,1.000
4.158,85.773,17.071,-4.315,18.745,19.239,55.295,-9.233,-0.033,0.912,-0.464,0.916,-1.221,-0.977,73.333,18575.000,1.000
2.763,83.109,14.671,-4.510,19.092,25.171,57.263,0.913,-0.034,0.912,-0.462,0.916,-1.373,-0.946,73.333,18576.000,1.000
1.208,80.601,11.826,-5.149,18.479,29.070,58.669,12.178,-0.036,0.913,-0.460,0.885,-1.434,-0.946,73.333,18577.000,1.000
-0.596,78.320,8.841,-6.909,16.782,31.210,59.907,23.890,-0.036,0.915,-0.458,0.916,-1.373,-1.007,73.333,18578.000,1.000
-2.476,76.518,6.492,-10.068,14.550,32.931,61.876,35.856,-0.035,0.915,-0.461,1.007,-1.434,-1.007,73.333,18579.000,1.000
-3.750,76.018,5.937,-14.199,13.020,36.094,65.254,48.087,-0.034,0.916,-0.464,1.099,-1.465,-1.129,73.333,18580.000,1.000
-3.511,77.501,7.983,-18.461,13.412,42.007,70.479,60.656,-0.033,0.917,-0.464,1.038,-1.404,-1.068,73.333,18581.000,1.000
-1.456,81.113,12.405,-22.398,15.874,50.190,76.429,72.351,-0.033,0.917,-0.462,1.099,-1.282,-1.129,73.333,18582.000,1.000
1.518,86.094,17.950,-26.113,19.360,58.640,81.561,81.298,-0.031,0.918,-0.460,1.007,-1.343,-1.038,73.333,18583.000,1.000
3.661,90.999,22.881,-30.096,22.229,64.863,84.637,85.578,-0.031,0.920,-0.461,1.038,-1.251,-0.977,73.333,18584.000,1.000
3.439,94.355,25.647,-34.889,23.072,67.007,84.725,83.718,-0.031,0.919,-0.462,0.885,-1.160,-0.885,73.333,18585.000,1.000
0.648,95.456,25.757,-40.148,21.461,65.158,82.583,76.339,-0.031,0.921,-0.463,0.854,-1.190,-0.824,73.333,18586.000,1.000
-3.370,95.078,24.193,-44.353,18.022,61.362,79.703,65.687,-0.030,0.922,-0.461,0.732,-1.221,-0.763,73.333,18587.000,1.000
-6.821,94.401,22.508,-45.797,13.983,58.330,77.604,54.663,-0.031,0.922,-0.458,0.610,-1.282,-0.671,73.333,18588.000,1.000
-8.723,93.756,21.506,-44.088,10.326,57.412,76.608,44.947,-0.031,0.922,-0.462,0.488,-1.160,-0.671,73.333,18589.000,1.000
-9.304,92.500,20.943,-40.488,7.290,57.915,75.535,36.307,-0.032,0.921,-0.463,0.549,-1.068,-0.641,73.333,18590.000,1.000
-9.427,89.707,20.296,-36.600,4.641,58.515,73.838,28.507,-0.033,0.919,-0.463,0.366,-1.038,-0.488,73.333,18591.000,1.000
-9.584,85.469,19.573,-33.156,2.190,58.518,71.580,21.772,-0.033,0.917,-0.464,0.458,-0.977,-0.519,73.333,18592.000,1.000
-9.478,80.800,19.265,-29.712,0.187,58.294,69.728,17.042,-0.032,0.916,-0.464,0.458,-1.007,-0.519,73.333,18593.000,1.000
-8.409,76.625,19.625,-25.453,-0.976,58.432,69.245,15.013,-0.033,0.916,-0.459,0.519,-1.038,-0.427,73.333,18594.000,1.000
-5.967,72.880,20.153,-20.095,-1.215,58.719,69.894,15.273,-0.033,0.917,-0.460,0.519,-0.946,-0.336,73.333,18595.000,1.000
-2.618,68.342,19.732,-14.060,-0.908,58.296,71.207,17.127,-0.031,0.917,-0.464,0.519,-0.916,-0.305,73.333,18596.000,1.000
0.286,61.858,17.166,-8.502,-0.896,55.961,72.009,19.194,-0.030,0.915,-0.462,0.580,-0.977,-0.214,73.333,18597.000,1.000
1.249,53.236,11.927,-4.618,-1.890,50.998,71.415,20.270,-0.031,0.916,-0.466,0.488,-0.824,-0.153,73.333,18598.000,1.000
-0.261,43.640,4.846,-2.662,-3.883,43.952,69.521,20.043,-0.032,0.913,-0.463,0.641,-0.824,-0.122,73.333,18599.000,1.000
-3.241,35.195,-1.923,-1.690,-6.041,36.644,67.218,19.119,-0.030,0.912,-0.465,0.641,-0.793,0.031,73.333,18600.000,1.000
-5.657,29.717,-5.909,-0.173,-7.083,31.423,66.482,19.205,-0.032,0.910,-0.463,0.763,-0.793,0.000,73.333,18601.000,1.000
-5.707,28.030,-5.630,2.765,-6.161,29.547,68.232,21.265,-0.032,0.910,-0.462,0.885,-0.854,-0.031,73.333,18602.000,1.000
