EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
25.558,-43.230,-40.354,11.138,-5.300,-27.690,-0.543,4.947,-0.038,0.989,-0.205,1.282,-0.488,-0.183,80.000,39687.000,1.000
29.480,-37.410,-23.733,11.487,5.483,-22.284,3.055,9.180,-0.038,0.987,-0.205,1.373,-0.488,-0.214,80.000,39688.000,1.000
34.491,-31.029,-5.498,11.855,17.688,-14.792,7.400,15.122,-0.037,0.987,-0.207,1.343,-0.519,-0.183,80.000,39689.000,1.000
40.478,-23.541,13.098,12.808,32.386,-5.572,12.482,19.933,-0.037,0.989,-0.208,1.282,-0.488,-0.092,80.000,39690.000,1.000
46.510,-15.186,29.528,14.290,48.687,3.946,16.852,20.677,-0.038,0.989,-0.210,1.251,-0.458,-0.061,80.000,39691.000,1.000
51.657,-6.801,41.704,15.932,64.974,12.008,19.195,16.618,-0.039,0.989,-0.210,1.373,-0.458,-0.092,80.000,39692.000,1.000
54.819,0.184,48.112,16.499,79.359,17.166,18.490,9.634,-0.040,0.989,-0.214,1.282,-0.549,-0.092,80.000,39693.000,1.000
56.095,5.245,49.591,15.364,91.552,19.205,15.720,3.202,-0.039,0.989,-0.213,1.282,-0.580,-0.061,80.000,39694.000,1.000
56.298,8.776,48.459,12.684,102.165,18.865,12.761,-0.458,-0.039,0.988,-0.212,1.282,-0.580,0.000,80.000,39695.000,1.000
56.138,11.628,46.738,9.148,111.616,17.214,10.695,-1.243,-0.040,0.986,-0.213,1.312,-0.671,-0.031,80.000,39696.000,1.000
56.642,15.384,46.528,6.193,121.164,15.576,10.492,0.055,-0.039,0.988,-0.212,1.282,-0.732,-0.092,80.000,39697.000,1.000
58.037,21.119,48.839,4.625,131.957,14.962,12.143,1.732,-0.040,0.988,-0.214,1.343,-0.793,-0.122,80.000,39698.000,1.000
60.155,29.133,54.572,4.807,144.958,15.906,15.877,2.176,-0.036,0.990,-0.212,1.404,-0.580,-0.122,80.000,39699.000,1.000
62.245,38.466,64.050,6.272,159.484,18.094,21.758,0.875,-0.034,0.990,-0.214,1.404,-0.702,-0.153,80.000,39700.000,1.000
63.370,47.274,76.395,7.979,173.026,20.591,29.124,-0.689,-0.033,0.990,-0.213,1.160,-0.732,-0.122,80.000,39701.000,1.000
63.536,54.063,90.524,9.392,183.882,22.624,37.626,0.181,-0.033,0.990,-0.212,1.099,-0.610,-0.061,80.000,39702.000,1.000
62.842,57.677,104.152,9.967,191.509,23.614,46.122,4.454,-0.031,0.990,-0.214,1.160,-0.580,-0.031,80.000,39703.000,1.000
62.202,58.438,115.445,9.969,196.971,23.535,53.873,10.737,-0.032,0.990,-0.214,1.160,-0.580,0.000,80.000,39704.000,1.000
62.672,57.643,123.359,9.909,201.058,22.506,60.291,15.552,-0.032,0.988,-0.213,1.068,-0.366,0.061,80.000,39705.000,1.000
64.538,56.424,127.275,10.011,203.195,20.477,64.638,15.731,-0.033,0.990,-0.213,1.068,-0.336,0.031,80.000,39706.000,1.000
67.748,55.727,127.948,10.765,203.443,17.650,67.534,11.717,-0.034,0.988,-0.212,1.038,-0.366,0.214,80.000,39707.000,1.000
71.219,55.625,126.012,12.140,202.465,14.189,69.779,6.716,-0.036,0.990,-0.213,1.038,-0.275,0.122,80.000,39708.000,1.000
74.080,56.260,122.567,14.191,201.822,10.389,72.731,4.268,-0.036,0.990,-0.212,0.885,-0.244,0.092,80.000,39709.000,1.000
75.900,58.069,118.693,16.650,202.364,6.770,77.331,5.769,-0.037,0.988,-0.211,0.916,-0.244,0.183,80.000,39710.000,1.000
76.460,61.295,114.631,18.687,203.161,4.064,83.137,9.960,-0.039,0.987,-0.211,0.916,-0.214,0.031,80.000,39711.000,1.000
76.094,65.614,110.486,19.694,203.072,2.923,89.281,13.928,-0.037,0.987,-0.214,0.916,-0.214,0.061,80.000,39712.000,1.000
74.812,69.454,105.313,19.007,200.966,3.161,93.942,14.256,-0.040,0.989,-0.214,0.854,-0.366,-0.031,80.000,39713.000,1.000
73.406,71.870,99.067,16.983,197.188,4.338,96.475,10.337,-0.040,0.989,-0.215,0.793,-0.366,-0.061,80.000,39714.000,1.000
72.904,73.094,93.079,14.500,192.789,6.259,97.668,4.961,-0.040,0.988,-0.215,0.732,-0.397,-0.122,80.000,39715.000,1.000
73.391,73.616,89.207,12.257,188.167,9.049,98.694,1.704,-0.040,0.987,-0.214,0.763,-0.580,-0.153,80.000,39716.000,1.000
74.202,73.726,89.689,10.780,183.636,12.898,100.858,2.369,-0.038,0.985,-0.214,0.641,-0.641,-0.153,80.000,39717.000,1.000
73.594,72.781,94.836,9.385,178.719,17.266,103.582,5.677,-0.040,0.985,-0.212,0.702,-0.488,-0.183,80.000,39718.000,1.000
70.721,70.629,103.966,7.581,173.641,21.532,106.067,9.167,-0.040,0.989,-0.212,0.702,-0.488,-0.214,80.000,39719.000,1.000
66.175,68.152,115.971,5.615,169.358,25.540,108.223,10.747,-0.040,0.990,-0.211,0.732,-0.580,-0.244,80.000,39720.000,1.000
61.530,66.971,129.358,4.241,166.653,29.526,110.320,9.720,-0.040,0.993,-0.209,0.610,-0.763,-0.366,80.000,39721.000,1.000
59.014,69.015,143.207,4.450,166.461,33.810,113.075,7.555,-0.041,0.995,-0.208,0.488,-0.885,-0.488,80.000,39722.000,1.000
59.414,74.612,155.690,5.836,168.573,37.939,115.572,6.335,-0.041,0.994,-0.208,0.275,-0.854,-0.549,80.000,39723.000,1.000
62.334,82.675,165.206,7.491,172.497,40.977,116.520,7.352,-0.039,0.995,-0.208,0.153,-0.916,-0.580,80.000,39724.000,1.000
66.388,91.251,170.842,8.600,177.469,41.980,115.080,9.666,-0.037,0.995,-0.207,0.031,-0.946,-0.427,80.000,39725.000,1.000
69.804,98.445,172.482,8.883,182.449,40.604,111.201,10.805,-0.034,0.994,-0.213,-0.122,-1.007,-0.305,80.000,39726.000,1.000
71.741,103.652,171.758,9.145,187.373,37.533,106.553,9.419,-0.032,0.992,-0.212,-0.275,-0.732,-0.305,80.000,39727.000,1.000
71.490,106.884,169.808,9.790,191.920,33.593,102.396,6.125,-0.033,0.990,-0.211,-0.244,-0.824,-0.183,80.000,39728.000,1.000
69.293,109.122,167.247,11.016,195.997,29.400,99.755,3.190,-0.032,0.989,-0.213,-0.183,-0.793,-0.061,80.000,39729.000,1.000
66.196,111.882,163.924,12.628,199.652,25.109,99.013,2.284,-0.034,0.990,-0.212,-0.183,-0.824,0.000,80.000,39730.000,1.000
63.368,116.439,158.963,14.138,203.036,20.523,99.605,3.340,-0.033,0.990,-0.212,-0.183,-0.732,0.092,80.000,39731.000,1.000
62.019,123.634,152.351,15.477,207.501,15.735,101.369,5.390,-0.034,0.991,-0.211,-0.092,-0.641,0.153,80.000,39732.000,1.000
61.970,132.793,143.894,16.217,214.070,10.959,103.506,6.701,-0.032,0.992,-0.210,-0.092,-0.549,0.275,80.000,39733.000,1.000
62.518,142.532,133.967,16.302,223.104,6.557,105.482,5.864,-0.033,0.989,-0.211,-0.122,-0.427,0.488,80.000,39734.000,1.000
62.627,151.040,122.984,15.598,233.142,2.598,106.660,2.392,-0.034,0.989,-0.210,-0.153,-0.397,0.488,80.000,39735.000,1.000
61.181,156.422,110.865,13.626,241.058,-1.188,106.109,-2.714,-0.034,0.987,-0.209,-0.153,-0.427,0.519,80.000,39736.000,1.000
58.422,158.148,98.592,10.658,245.132,-4.585,104.358,-7.263,-0.034,0.985,-0.209,-0.244,-0.305,0.549,80.000,39737.000,1.000
55.227,156.874,87.255,7.244,245.309,-6.932,102.208,-9.996,-0.034,0.983,-0.209,-0.122,-0.366,0.488,80.000,39738.000,1.000
52.923,154.306,78.402,4.307,242.993,-7.479,100.793,-10.573,-0.035,0.981,-0.208,-0.061,-0.366,0.488,80.000,39739.000,1.000
51.974,151.770,73.194,2.053,239.058,-6.205,100.664,-9.479,-0.035,0.984,-0.209,0.092,-0.336,0.397,80.000,39740.000,1.000
51.697,149.448,71.932,0.005,233.036,-3.745,101.514,-7.659,-0.033,0.981,-0.212,0.244,-0.214,0.336,80.000,39741.000,1.000
51.669,147.211,75.260,-1.654,224.964,-0.611,103.625,-5.731,-0.034,0.980,-0.212,0.305,-0.275,0.214,80.000,39742.000,1.000
51.182,144.278,82.357,-2.935,214.802,2.570,106.369,-4.746,-0.032,0.982,-0.210,0.275,-0.214,0.244,80.000,39743.000,1.000
50.009,140.161,91.440,-3.746,203.132,5.466,109.046,-5.320,-0.031,0.982,-0.208,0.458,-0.183,0.183,80.000,39744.000,1.000
48.080,134.742,100.166,-4.332,190.767,8.136,111.113,-6.856,-0.030,0.982,-0.209,0.641,-0.092,0.153,80.000,39745.000,1.000
44.958,127.826,105.954,-5.431,177.706,10.434,111.821,-7.949,-0.028,0.984,-0.207,0.671,0.031,0.061,80.000,39746.000,1.000
40.639,119.469,107.809,-7.301,163.759,11.775,111.119,-7.677,-0.030,0.986,-0.209,0.641,-0.031,0.031,80.000,39747.000,1.000
35.115,109.682,105.799,-10.159,148.241,11.369,108.656,-6.869,-0.030,0.987,-0.211,0.824,0.061,-0.061,80.000,39748.000,1.000
29.370,99.523,102.040,-13.396,131.838,9.369,105.131,-6.483,-0.031,0.983,-0.213,0.885,0.153,-0.153,80.000,39749.000,1.000
24.814,90.761,99.562,-16.058,116.563,6.802,101.980,-7.076,-0.030,0.985,-0.209,0.916,0.183,-0.153,80.000,39750.000,1.000
22.204,84.748,100.231,-17.478,104.265,4.742,100.080,-9.097,-0.031,0.985,-0.209,1.007,0.275,-0.244,80.000,39751.000,1.000
21.796,82.081,104.720,-17.139,96.358,3.833,99.992,-12.157,-0.031,0.984,-0.211,1.099,0.305,-0.153,80.000,39752.000,1.000
22.717,81.961,111.468,-15.541,92.499,3.801,100.586,-15.100,-0.033,0.986,-0.208,1.099,0.275,-0.183,80.000,39753.000,1.000
24.563,83.700,118.938,-12.916,92.099,4.324,100.799,-16.025,-0.032,0.986,-0.212,1.160,0.275,-0.244,80.000,39754.000,1.000
27.406,86.947,126.394,-9.334,94.560,5.572,100.237,-13.868,-0.032,0.987,-0.209,1.160,0.183,-0.275,80.000,39755.000,1.000
30.772,90.845,132.698,-5.585,98.327,7.863,98.469,-9.331,-0.033,0.988,-0.210,1.221,0.336,-0.366,80.000,39756.000,1.000
33.917,94.255,136.425,-2.684,101.707,11.215,95.460,-4.135,-0.033,0.990,-0.210,1.312,0.336,-0.366,80.000,39757.000,1.000
35.458,95.635,135.100,-1.832,102.781,14.944,90.429,-0.551,-0.034,0.991,-0.208,1.343,0.336,-0.305,80.000,39758.000,1.000
34.791,94.286,127.598,-3.107,101.168,18.506,83.533,0.387,-0.032,0.991,-0.209,1.312,0.214,-0.275,80.000,39759.000,1.000
31.964,90.359,115.107,-5.984,97.724,21.790,75.845,-0.959,-0.034,0.989,-0.210,1.343,0.214,-0.214,80.000,39760.000,1.000
27.194,84.471,100.553,-9.905,93.112,24.828,68.097,-3.828,-0.036,0.990,-0.212,1.221,0.153,-0.214,80.000,39761.000,1.000
21.575,77.993,88.653,-13.671,88.004,27.751,61.133,-7.270,-0.040,0.990,-0.213,1.251,0.092,-0.275,80.000,39762.000,1.000
