EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-21.632,-51.781,-37.487,-0.563,-4.862,-76.534,-71.986,25.255,-0.025,0.921,-0.446,0.519,-0.397,-0.732,73.333,30325.000,1.000
-18.161,-52.453,-35.383,5.812,-3.165,-70.360,-61.908,29.910,-0.025,0.921,-0.448,0.458,-0.397,-0.671,73.333,30326.000,1.000
-14.267,-51.884,-33.136,11.807,-2.726,-64.042,-53.670,31.082,-0.026,0.921,-0.448,0.458,-0.427,-0.702,73.333,30327.000,1.000
-10.529,-51.216,-31.152,15.770,-3.688,-59.058,-48.287,28.643,-0.027,0.922,-0.452,0.427,-0.458,-0.641,73.333,30328.000,1.000
-7.267,-51.321,-29.434,16.973,-5.643,-56.242,-45.731,23.002,-0.027,0.921,-0.448,0.427,-0.366,-0.519,73.333,30329.000,1.000
-4.519,-52.036,-27.582,16.124,-7.727,-55.058,-44.335,15.525,-0.026,0.921,-0.448,0.427,-0.366,-0.580,73.333,30330.000,1.000
-2.325,-52.250,-25.147,14.886,-9.206,-54.048,-42.307,7.819,-0.026,0.919,-0.449,0.397,-0.275,-0.458,73.333,30331.000,1.000
-0.826,-50.593,-21.957,14.904,-9.739,-51.734,-38.867,1.265,-0.027,0.921,-0.449,0.458,-0.153,-0.488,73.333,30332.000,1.000
-0.271,-46.457,-18.516,16.689,-9.402,-47.485,-34.061,-3.158,-0.026,0.922,-0.445,0.488,-0.244,-0.366,73.333,30333.000,1.000
-0.808,-40.049,-15.878,19.097,-8.631,-42.091,-29.474,-5.916,-0.027,0.921,-0.445,0.549,-0.214,-0.305,73.333,30334.000,1.000
-2.100,-32.059,-14.662,20.512,-7.509,-36.711,-26.298,-7.586,-0.025,0.920,-0.448,0.610,-0.183,-0.336,73.333,30335.000,1.000
-3.387,-23.123,-14.382,20.145,-5.572,-31.964,-24.794,-8.413,-0.025,0.922,-0.449,0.641,-0.214,-0.244,73.333,30336.000,1.000
-4.122,-13.927,-14.191,18.125,-2.424,-28.003,-24.628,-8.463,-0.026,0.921,-0.450,0.641,-0.305,-0.153,73.333,30337.000,1.000
-4.443,-5.499,-14.124,14.753,1.609,-25.035,-25.009,-7.631,-0.025,0.920,-0.451,0.610,-0.336,-0.153,73.333,30338.000,1.000
-4.828,1.569,-15.003,10.245,5.660,-23.484,-25.774,-6.277,-0.028,0.918,-0.452,0.671,-0.305,-0.153,73.333,30339.000,1.000
-5.476,7.492,-17.158,5.455,9.307,-23.042,-25.948,-3.878,-0.028,0.919,-0.448,0.671,-0.153,-0.092,73.333,30340.000,1.000
-6.182,12.971,-19.895,1.701,12.652,-22.798,-24.339,0.440,-0.028,0.920,-0.450,0.641,-0.214,-0.122,73.333,30341.000,1.000
-6.553,18.435,-22.171,-0.173,15.935,-22.026,-20.507,6.766,-0.026,0.921,-0.449,0.610,-0.214,-0.061,73.333,30342.000,1.000
-6.023,23.980,-23.104,0.085,19.447,-20.141,-14.114,14.845,-0.027,0.921,-0.449,0.580,-0.244,0.000,73.333,30343.000,1.000
-4.041,29.826,-22.150,2.305,23.255,-16.874,-5.809,23.767,-0.027,0.921,-0.449,0.641,-0.397,0.000,73.333,30344.000,1.000
-0.637,35.479,-19.522,5.804,27.025,-12.631,3.297,32.359,-0.026,0.919,-0.445,0.702,-0.305,0.092,73.333,30345.000,1.000
3.551,39.762,-15.985,9.568,30.136,-8.496,11.728,38.888,-0.027,0.920,-0.449,0.610,-0.366,0.092,73.333,30346.000,1.000
8.014,41.955,-11.937,13.189,32.324,-5.045,18.854,42.061,-0.026,0.921,-0.451,0.702,-0.366,0.031,73.333,30347.000,1.000
12.763,42.255,-7.204,17.217,33.839,-1.631,26.023,42.448,-0.027,0.920,-0.452,0.702,-0.427,-0.031,73.333,30348.000,1.000
17.804,41.542,-1.758,22.093,34.649,2.380,34.063,41.022,-0.025,0.919,-0.451,0.671,-0.488,0.000,73.333,30349.000,1.000
22.484,40.521,3.622,27.283,34.159,6.644,42.545,38.397,-0.025,0.920,-0.451,0.702,-0.580,0.031,73.333,30350.000,1.000
25.624,39.559,7.498,31.313,31.582,9.766,49.577,34.028,-0.025,0.920,-0.451,0.671,-0.397,0.000,73.333,30351.000,1.000
26.093,38.485,8.440,32.559,26.467,10.237,52.997,26.762,-0.026,0.920,-0.453,0.702,-0.336,0.061,73.333,30352.000,1.000
